'name';'short_name';'url_logo';'volume';'algoritm';'generation';'twitter id';'site_url';'date'
'Honey';'HONEY';'https://www.cryptocompare.com/media/1382937/honey1.png';7000000;'Blake2S';'PoW/PoS';'https://twitter.com/thehoneydev';'http://honeycoin.info/';11.03.17
'SecureCoin';'SRC';'https://www.cryptocompare.com/media/19918/src.png';21000000;'Scrypt';'PoW';'https://twitter.com/SecureCoin';'http://securecoin.org/';28.08.13
'Marijuanacoin';'MAR';'https://www.cryptocompare.com/media/1382577/mar.png';2292149;'X11';'PoW/PoS';'https://twitter.com/Marijuana_Coin';'https://marijuanacoin.org/';20.01.17
'Beatcoin';'XBTS';'https://www.cryptocompare.com/media/351617/beats.png';2524686;'X11';'PoW/PoS';'https://twitter.com/Beats_coin';'http://beatcoin.info/';02.09.16
'SixEleven';611;'https://www.cryptocompare.com/media/350985/611.png';611000;'SHA256';'PoW';'https://twitter.com/611Coin';'http://anti.cash/';21.08.15
'RonPaulCoin';'RPC';'https://www.cryptocompare.com/media/19895/rpc-2.png';21000000;'Scrypt';'PoW';'https://twitter.com/RPCoin';'http://www.ronpaulcoin.com/';28.12.13
'Rupaya';'RUPX';'https://www.cryptocompare.com/media/14913484/rupx.png';8400000;'Scrypt';'PoW/PoS';'https://twitter.com/RupayaCoin';'http://www.rupayacoin.org/';27.07.17
'ICOBID';'ICOB';'https://www.cryptocompare.com/media/352133/icb.png';200000000;'Scrypt';'PoW/PoS';'https://twitter.com/pioneer8816';'http://www.icobidplatform.net/';13.01.17
'Virtacoinplus';'XVP';'https://www.cryptocompare.com/media/1382865/xvp.png';100000000;'X11';'PoW/PoS';'https://twitter.com/VirtacoinPlus';'http://virtacoinplus.uk/';05.05.16
'BROTHER';'BRAT';'https://www.cryptocompare.com/media/25792621/brat.png';1000000000;'';'';'https://twitter.com/coinBrat';'http://bro-consortium.io/';17.07.17
'BriaCoin';'BRIA';'https://files.coinmarketcap.com/static/img/coins/200x200/briacoin.png';3000000;'';'';'https://twitter.com/BriaCoin';'https://briacoin.com/';29.06.17
'Bitcoin Planet';'BTPL';'https://www.cryptocompare.com/media/1383774/btpl.png';100000000;'Skein';'PoW/PoS';'https://twitter.com/bitcoin_planet_';'http://bitcoin-planet.net/';17.06.17
'FuzzBalls';'FUZZ';'https://www.cryptocompare.com/media/351025/fuzz.png';21000000;'Scrypt';'PoW';'';'http://fyi-koerier.nl/fuzzballs.htm';28.09.15
'CacheCoin';'CACH';'https://pbs.twimg.com/profile_images/876798262254219264/8yovkswH_400x400.jpg';2000000000;'Scrypt';'PoW';'https://twitter.com/CACHeCoin';'http://cachecoin.org/';05.01.14
'CompuCoin';'CPN';'https://www.cryptocompare.com/media/20780661/cpn.png';35000000;'Scrypt';'PoW';'https://twitter.com/compucoin';'http://compucoin.org/';16.07.15
'QuazarCoin';'QCN';'https://www.cryptocompare.com/media/19877/qcn.png';6713910,5;'CryptoNight';'PoW';'https://twitter.com/QuazarCoin';'http://www.quazarcoin.org/';19.05.15
'Cannation';'CNNC';'https://files.coinmarketcap.com/static/img/coins/200x200/cannation.png';2476893;'';'';'';'http://www.cannationcoin.com/';13.05.17
'Evotion';'EVO';'https://files.coinmarketcap.com/static/img/coins/200x200/evotion.png';3211664;'';'';'';'http://evotion.info/';10.12.15
'GlobalToken';'GLT';'https://www.cryptocompare.com/media/16746578/glt.png';168000000;'SHA256';'PoW';'https://twitter.com/GlobalTokenCoin';'https://globaltoken.org/';06.12.17
'SOILcoin';'SOIL';'https://www.cryptocompare.com/media/350949/soil.png';30000000;'Dagger';'PoW';'https://twitter.com/SOILcoin';'http://soilcoin.xyz/';10.09.15
'Coinonat';'CXT';'https://www.cryptocompare.com/media/1383080/cxt.png';48252000;'NIST5';'PoW';'https://twitter.com/coinonat';'http://www.coinonat.org/';20.03.17
'Gold Pressed Latinum';'GPL';'https://www.cryptocompare.com/media/351525/gpl.png';1000000;;'PoW/PoS';'';'http://www.scificrypto.info/gpl/index.htm';27.08.13
'Advanced Internet Blocks';'AIB';'https://files.coinmarketcap.com/static/img/coins/200x200/advanced-internet-blocks.png';31412139756;'Scrypt';'PoW';'';'http://aib.iobond.com/';15.04.15
'Acoin';'ACOIN';'https://www.cryptocompare.com/media/20079/acoin.png';1600000;'SHA256';'PoW';'https://twitter.com/acointeam';'http://acoinproject.org/';13.09.14
'Creatio';'XCRE';'https://www.cryptocompare.com/media/352156/xcre.png';20000000;'PoS';'PoS';'https://twitter.com/creatioteam';'https://xcreatio.com/';20.10.16
'BitAsean';'BAS';'https://www.cryptocompare.com/media/20780613/bas.png';30000000;'';'';'https://twitter.com/BitAseanTeam';'https://www.bitasean.org/';03.06.17
'X-Coin';'XCO';'https://www.cryptocompare.com/media/20486/xco.png';12384976;'SHA256';'PoW/PoS';'https://twitter.com/XcoinNews';'http://x-coin.info/';26.02.15
